id,customer_id
1,2
2,98
3,75
4,94
5,40
6,34
7,52
8,58
9,64
10,20
11,19
12,59
13,67
14,87
15,23
16,51
17,91
18,2
19,69
20,29
21,66
22,68
23,9
24,27
25,31
26,74
27,45
28,2
29,47
30,93
31,84
32,88
33,41
34,71
35,9
36,93
37,87
38,38
39,29
40,67
41,1
42,94
43,46
44,65
45,73
46,61
47,15
48,93
49,17
50,54
51,53
52,14
53,73
54,58
55,74
56,77
57,6
58,83
59,58
60,49
61,55
62,95
63,28
64,61
65,39
66,71
67,27
68,16
69,66
70,10
71,73
72,23
73,18
74,52
75,18
76,4
77,86
78,85
79,53
80,59
81,25
82,79
83,20
84,95
85,31
86,7
87,68
88,11
89,3
90,80
91,47
92,39
93,55
94,10
95,39
96,62
97,97
98,55
99,3
100,100
101,39
102,82
103,41
104,48
105,17
106,15
107,75
108,83
109,75
110,41
111,69
112,1
113,93
114,7
115,93
116,63
117,54
118,68
119,85
120,45
121,69
122,87
123,9
124,43
125,56
126,81
127,19
128,30
129,56
130,70
131,97
132,74
133,56
134,18
135,91
136,83
137,24
138,35
139,23
140,51
141,19
142,74
143,41
144,39
145,13
146,32
147,41
148,74
149,76
150,72
151,21
152,10
153,37
154,74
155,72
156,91
157,94
158,6
159,6
160,7
161,39
162,54
163,24
164,46
165,91
166,22
167,77
168,42
169,77
170,21
171,51
172,36
173,4
174,68
175,18
176,37
177,67
178,22
179,18
180,46
181,94
182,47
183,33
184,60
185,87
186,78
187,43
188,53
189,80
190,23
191,42
192,50
193,6
194,74
195,14
196,8
197,11
198,86
199,41
200,41
201,25
202,42
203,90
204,27
205,4
206,4
207,67
208,93
209,76
210,6
211,18
212,9
213,75
214,70
215,51
216,35
217,43
218,49
219,82
220,61
221,47
222,19
223,84
224,11
225,96
226,73
227,1
228,73
229,37
230,63
231,28
232,25
233,24
234,23
235,82
236,78
237,94
238,48
239,22
240,78
241,17
242,27
243,40
244,75
245,27
246,31
247,87
248,61
249,66
250,66
251,83
252,66
253,49
254,29
255,94
256,33
257,47
258,15
259,2
260,41
261,49
262,12
263,97
264,59
265,29
266,35
267,33
268,40
269,41
270,25
271,89
272,19
273,20
274,72
275,60
276,22
277,45
278,59
279,38
280,53
281,56
282,41
283,9
284,98
285,23
286,97
287,38
288,72
289,19
290,1
291,29
292,16
293,40
294,29
295,45
296,33
297,89
298,47
299,50
300,83
