customer_id,location_id
1,10
2,14
3,5
4,6
5,10
6,5
7,16
8,15
9,3
10,16
11,19
12,15
13,7
14,6
15,1
16,1
17,6
18,10
19,10
20,10
21,16
22,11
23,14
24,7
25,15
26,7
27,19
28,4
29,8
30,15
31,15
32,20
33,19
34,18
35,17
36,4
37,15
38,4
39,17
40,13
41,3
42,4
43,11
44,6
45,7
46,8
47,4
48,4
49,16
50,2
51,14
52,1
53,16
54,12
55,19
56,16
57,20
58,17
59,17
60,8
61,11
62,18
63,19
64,11
65,11
66,20
67,2
68,9
69,5
70,16
71,20
72,15
73,15
74,10
75,13
76,6
77,5
78,3
79,3
80,19
81,9
82,7
83,3
84,9
85,20
86,11
87,3
88,20
89,16
90,8
91,6
92,15
93,13
94,14
95,20
96,20
97,6
98,5
99,17
100,16
